epoch,train_loss,eval_loss,eval_prec1,eval_prec5
0,4.632223043795889,4.54028616027832,2.19,9.39
1,4.18730726834296,3.6347632957458496,13.72,38.61
2,3.822766561972194,3.100620841217041,23.43,52.83
3,3.491767816751165,2.6084326400756837,32.75,65.38
4,3.2775719474128207,2.3259476818084717,38.75,71.55
5,3.073779324410667,2.3591082885742187,38.01,71.5
6,2.8622174650697794,1.983924130821228,46.17,78.87
7,2.7953618223016914,1.7804284584045411,51.48,82.28
8,2.665312959961641,1.7301429334640503,53.01,83.2
9,2.5715464925949156,1.6613143579483032,54.26,84.28
10,2.531391813263545,1.6085714159011841,56.37,85.74
11,2.5007686544777337,1.6033586122512817,55.89,85.48
12,2.455041541943324,1.5207466457366943,57.37,86.2
13,2.428148716878952,1.490505994796753,59.12,87.13
14,2.420481191401903,1.5186069179534911,57.85,86.31
15,2.3773269532737293,1.4961996963500976,59.41,86.14
16,2.315526211002267,1.387086195755005,61.34,88.37
17,2.335223324167591,1.3869287708282472,61.85,88.58
18,2.314957208883747,1.3862838806152344,61.99,88.06
19,2.277094194357893,1.3594741661071776,62.17,89.22
20,2.2043757196730445,1.3286718250274658,63.27,88.99
21,2.26945857270579,1.3278461307525635,63.93,89.08
22,2.2234319901038986,1.2857471897125243,63.8,89.64
23,2.1391688990531903,1.3393317028045655,62.9,89.33
24,2.1821174101853953,1.2762609930038453,64.59,89.7
25,2.1462104942520814,1.2736673852920533,64.61,89.79
26,2.210177488806306,1.2344501773834229,65.82,90.26
27,2.1143129538940255,1.2513795398712158,63.99,90.28
28,2.177117337414306,1.276767033481598,65.0,90.19
29,2.1268660915340565,1.2347845865249634,66.46,90.38
30,2.1006910942886,1.2282809616088868,66.05,90.17
31,2.0625092803897687,1.2179552192687988,66.49,90.78
32,2.0801092092420013,1.1734432512283326,68.48,91.03
33,2.082828292544459,1.162759713935852,67.3,91.21
34,2.0935301400635216,1.2088231494903565,66.5,91.13
35,2.008057020003603,1.1948548330307007,66.95,91.05
36,2.106935161939809,1.20389015750885,67.42,91.09
37,2.029527928627713,1.2164567920684815,66.83,90.77
38,2.097344983555138,1.2155407913208007,67.57,90.99
39,2.021560713973149,1.2137751800537109,67.01,91.33
40,1.9757782251367801,1.1742156341552734,66.83,91.01
41,1.9945608122553318,1.2350329040527344,67.02,91.36
42,2.0076259847029223,1.2338275094985962,67.72,91.31
43,2.0421400042715816,1.2683489109039308,67.5,90.92
44,1.9379689414125705,1.1466621158599855,67.54,91.66
45,1.9757900199114742,1.3010746278762817,66.34,90.51
46,2.0288918078632574,1.2437432613372803,67.21,90.86
47,2.04006787848381,1.1343824014663697,68.34,91.48
48,2.0111794627430193,1.2691708919525146,67.77,91.31
49,1.9495250293448396,1.1647469088554383,68.42,91.57
50,1.9620622660530667,1.1649521919250487,68.86,91.63
51,1.974616883200964,1.3030515449523925,67.13,91.47
52,1.9481237346781048,1.2579982154846192,67.47,91.54
53,1.9220700096839827,1.238444891357422,68.8,92.06
54,1.9219065396336985,1.2081472003936768,69.23,91.62
55,1.9189425402353117,1.1480763200759887,69.04,91.81
56,1.9479255695349122,1.1667073595046997,68.58,91.75
57,1.9407776807853416,1.1962637300491332,68.83,91.89
58,1.8761414885520935,1.1650690799713135,69.58,91.68
59,1.9429028054052981,1.2885589101791382,68.66,91.33
60,1.8707833564083036,1.1214062671661378,69.39,91.84
61,1.8857358098411683,1.1212791856765747,69.68,91.85
62,1.856616807960823,1.1128570569992065,70.14,92.63
63,1.8194342652447855,1.0646737586975097,69.28,92.36
64,1.8845268548221807,1.1539362478256225,70.32,92.31
65,1.8984289670723196,1.0996089487075806,69.2,92.05
66,1.8440816465779548,1.1090308959960937,69.95,92.34
67,1.882724625467491,1.2568626096725464,68.41,91.54
68,1.878194157811652,1.1084988250732422,69.84,92.17
69,1.8783793532588875,1.1180937519073486,69.65,91.89
70,1.8767773970751696,1.18549032497406,68.68,91.67
71,1.8756938090168713,1.112330143737793,69.39,91.93
